Profile Summary
Generated on: 2023-09-07 16:37:15
Msec since Epoch: 1694119035401
Profiled application: Bert_layer
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.479
Build version branch: 2022.1
Build version hash: 5e92a513c6950e79638b1a879ddb882da34fc683
Build version date: N/A
Target devices: xilinx_u280_gen3x16_xdma_base_1-1
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,30,1.0403,0.010412,0.0346768,0.187656,
clCreateCommandQueue,2,0.024572,0.003742,0.012286,0.02083,
clCreateContext,2,18.1552,8.36353,9.0776,9.79168,
clCreateKernel,1,1.57822,1.57822,1.57822,1.57822,
clCreateProgramWithBinary,2,1615.01,500.27,807.506,1114.74,
clEnqueueMigrateMemObjects,2,0.368071,0.004432,0.184035,0.363639,
clEnqueueTask,1,0.12036,0.12036,0.12036,0.12036,
clFinish,1,114.889,114.889,114.889,114.889,
clGetDeviceIDs,2,0.01343,0.00322,0.006715,0.01021,
clGetDeviceInfo,4,14.7712,0.002844,3.69281,7.87815,
clGetEventProfilingInfo,2,0.009428,0.002415,0.004714,0.007013,
clGetExtensionFunctionAddress,1,0.031911,0.031911,0.031911,0.031911,
clGetExtensionFunctionAddressForPlatform,1,0.009924,0.009924,0.009924,0.009924,
clGetPlatformInfo,4,0.016721,0.001396,0.00418025,0.009386,
clReleaseCommandQueue,2,0.109254,0.050946,0.054627,0.058308,
clReleaseContext,2,0.008043,0.003852,0.0040215,0.004191,
clReleaseDevice,8,0.024431,0.001198,0.00305388,0.00772,
clReleaseEvent,1,0.018101,0.018101,0.018101,0.018101,
clReleaseKernel,1,11.5505,11.5505,11.5505,11.5505,
clReleaseMemObject,90,0.113876,0.00086,0.00126529,0.010196,
clReleaseProgram,1,0.003002,0.003002,0.003002,0.003002,
clRetainDevice,8,0.01901,0.000765,0.00237625,0.00647,
clRetainMemObject,60,0.061244,0.000813,0.00102073,0.001933,
clSetKernelArg,30,0.04076,0.001036,0.00135867,0.005706,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Bert_layer,1,113.864,113.864,113.864,113.864,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
34023936,Bert_layer,1,1,xilinx_u280_gen3x16_xdma_base_1-1,2104.09,113.864,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,1,1,2103.04,0.987863,7141.44,7229.18,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
7208960,1,1,2218.03,0.06415,36.864,574.653,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context1:1,READ,1,574.653,100,36.864,0.06415,0.06415,
context1:1,WRITE,1,7229.18,100,7141.44,0.987863,0.987863,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_gen3x16_xdma_base_1-1,113.864,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-1|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-1|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-1|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[2],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[3],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[4],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[5],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[6],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[7],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[8],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[9],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[10],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[11],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[12],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[13],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[14],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[15],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[16],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[17],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[18],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[19],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[20],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[21],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[22],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[23],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[24],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[25],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[26],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[27],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[28],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[29],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[30],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|HBM[31],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|DDR[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|DDR[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-1|PLRAM[0],0,
