Profile Summary
Generated on: 2023-09-06 14:23:32
Msec since Epoch: 1694024612814
Profiled application: Bert_layer
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.479
Build version branch: 2022.1
Build version hash: 5e92a513c6950e79638b1a879ddb882da34fc683
Build version date: N/A
Target devices: xilinx_u280_gen3x16_xdma_1_202211_1-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,30,1.0367,0.028772,0.0345568,0.066169,
clCreateCommandQueue,1,0.009651,0.009651,0.009651,0.009651,
clCreateContext,1,0.073723,0.073723,0.073723,0.073723,
clCreateKernel,1,1.49606,1.49606,1.49606,1.49606,
clCreateProgramWithBinary,1,61.8024,61.8024,61.8024,61.8024,
clEnqueueMigrateMemObjects,2,0.314084,0.006844,0.157042,0.30724,
clEnqueueTask,1,24.562,24.562,24.562,24.562,
clFinish,1,56998.3,56998.3,56998.3,56998.3,
clGetDeviceIDs,2,0.007861,0.001726,0.0039305,0.006135,
clGetDeviceInfo,2,0.007669,0.002504,0.0038345,0.005165,
clGetEventProfilingInfo,2,0.022047,0.00296,0.0110235,0.019087,
clGetExtensionFunctionAddress,1,0.024068,0.024068,0.024068,0.024068,
clGetExtensionFunctionAddressForPlatform,1,0.007306,0.007306,0.007306,0.007306,
clGetPlatformInfo,4,0.012631,0.001362,0.00315775,0.005816,
clReleaseCommandQueue,1,865.337,865.337,865.337,865.337,
clReleaseContext,1,0.003904,0.003904,0.003904,0.003904,
clReleaseDevice,4,0.02158,0.001183,0.005395,0.014741,
clReleaseEvent,1,0.013671,0.013671,0.013671,0.013671,
clReleaseKernel,1,3.63215,3.63215,3.63215,3.63215,
clReleaseMemObject,90,0.097663,0.000681,0.00108514,0.008176,
clReleaseProgram,1,0.002421,0.002421,0.002421,0.002421,
clRetainDevice,4,0.007819,0.001091,0.00195475,0.003058,
clRetainMemObject,60,0.047396,0.000655,0.000789933,0.002837,
clSetKernelArg,30,0.031744,0.000796,0.00105813,0.005699,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
Bert_layer,1,56997.5,56997.5,56997.5,56997.5,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
13459248,Bert_layer,0,0,xilinx_u280_gen3x16_xdma_1_202211_1-0,179.061,56997.5,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
8192,0,0,154.235,N/A,7141.44,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
7217152,0,0,57176.6,N/A,36.864,N/A,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_gen3x16_xdma_1_202211_1-0,Bert_layer_1,Bert_layer,1:1:1,1:1:1,1,No,0,1.000000x,56997.3,56997.3,56997.3,56997.3,300,

Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_gen3x16_xdma_1_202211_1-0,56997.5,
CU_CALLS,xilinx_u280_gen3x16_xdma_1_202211_1-0|Bert_layer_1,1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|DDR[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|DDR[1],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[10],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[11],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[12],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[13],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[14],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[15],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[16],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[17],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[18],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[19],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[1],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[20],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[21],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[22],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[23],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[24],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[25],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[26],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[27],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[28],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[29],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[2],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[30],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[31],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[3],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[4],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[5],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[6],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[7],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[8],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_1_202211_1-0|HBM[9],1,
