 , ,Bert_layer,Linear_layer_qkv,Self_attention,Attention_layer,Softmax_layer,Context_layer,Linear_layer_ds0,Linear_layer_ds1,Linear_layer_ds2,Gelu_layer,Res_layer,Layer_norm
baseline,Cycle_Period,9.514,7.256,7.684,7.256,7.684,7.256,7.256,7.256,7.256, ,7.256,8.400
 ,Average_Time,11.987 sec,0.992 sec,28.013 ms,1.121 ms,52.590 us,1.129 ms,0.992 sec,3.968 sec,3.965 sec, ,0.738 ms,4.244 ms
 ,BRAM_18K,636,0,10,0,0,0,0,0,0, ,0,0
 ,DSP48E,200,5,19,5,9,5,5,5,5, ,2,8
 ,FF,32695,739,2992,636,1634,602,739,762,752, ,410,3084
 ,LUT,36018,1341,5668,1247,2771,1062,1341,1378,1370, ,549,4877
cct_buffer,Cycle_Period,9.578,7.303,9.578,7.848,9.578,7.836,7.303,7.362,7.362, ,7.256,9.578
 ,Average_Time,0.857 sec,71.151 ms,2.935 ms,0.101 ms,10.530 us,0.117 ms,71.151 ms,0.285 sec,0.283 sec, ,92.250 us,0.646 ms
 ,BRAM_18K,659,2,15,2,0,2,2,8,2, ,2,0
 ,DSP48E,226,5,19,5,9,5,5,5,5, ,2,10
 ,FF,42344,1165,3604,994,1732,756,1165,1192,1178, ,487,4054
 ,LUT,41175,1626,6373,1493,2886,1275,1626,1656,1655, ,622,5449
cct_fake_sa_HLS,Cycle_Period,13.058,10.510,13.058,10.088,13.058,10.510,10.510,10.510,10.510,9.514, ,9.578
 ,Average_Time,51.535 ms,3.197 ms,1.826 ms,43.964 us,19.300 us,44.773 us,3.197 ms,12.786 ms,12.495 ms,0.371 ms, ,0.646 ms
 ,BRAM_18K,1186,0,32,0,0,0,0,0,0,82, ,0
 ,DSP48E,708,121,34,15,3,15,121,121,121,176, ,10
 ,FF,119333,15218,21974,2193,1801,2120,15218,15647,15226,30167, ,3975
 ,LUT,187827,26050,14473,4068,3470,3536,26050,26164,26057,21968, ,5441
cct_systolic_array_HLS,Cycle_Period,13.058,9.336,13.058,10.088,13.058,9.336,9.336,9.336,9.336,9.514, ,9.578
 ,Average_Time,45.934 ms,2.554 ms,3.878 ms,39.182 us,19.300 us,40.200 us,2.554 ms,10.215 ms,9.927 ms,0.371 ms, ,0.646 ms
 ,BRAM_18K,1186,0,32,0,0,0,0,0,0,82, ,0
 ,DSP48E,4457,1009,231,115,3,112,1009,1009,1009,176, ,10
 ,FF,535074,114823,38332,13157,1801,12757,114823,115248,115411,30554, ,3975
 ,LUT,1111724,244181,65847,30400,3470,28974,244181,244581,243889,21980, ,5441
 
 
 
 
baseline,Cycle_Period,9.514,7.256,7.684,7.256,7.684,7.256,7.256,7.256,7.256, ,7.256,8.400
 ,Average_Time,11.987 sec,0.992 sec,28.013 ms,1.121 ms,52.590 us,1.129 ms,0.992 sec,3.968 sec,3.965 sec, ,0.738 ms,4.244 ms
 ,BRAM_18K,636,0,10,0,0,0,0,0,0, ,0,0
 ,DSP48E,200,5,19,5,9,5,5,5,5, ,2,8
 ,FF,32695,739,2992,636,1634,602,739,762,752, ,410,3084
 ,LUT,36018,1341,5668,1247,2771,1062,1341,1378,1370, ,549,4877
dct_Fixed_24_16,Cycle_Period,9.514,8.510,8.670,8.552,8.670,8.510,8.510,8.552,8.510,9.514,8.552,8.670
 ,Average_Time,5.173 sec,0.425 sec,10.459 ms,0.391 ms,56.910 us,0.392 ms,0.425 sec,1.702 sec,1.699 sec,50.135 ms,0.553 ms,4.521 ms
 ,BRAM_18K,645,0,11,1,0,0,0,96,0,82,0,0
 ,DSP48E,197,5,22,8,9,5,5,5,5,147,0,8
 ,FF,31293,306,2864,708,1854,182,306,615,319,23310,337,3204
 ,LUT,37536,644,6633,2154,3522,369,644,1983,673,19301,1319,5505
dct_int12,Cycle_Period,9.634,9.634,9.634,9.634,7.684,9.634,9.634,9.634,9.634, ,7.256,8.400
 ,Average_Time,6.201 sec,0.413 sec,20.195 ms,0.776 ms,52.590 us,0.823 ms,0.413 sec,2.236 sec,2.232 sec, ,0.738 ms,4.244 ms
 ,BRAM_18K,8646,814,18,3,0,5,814,3220,3154, ,0,0
 ,DSP48E,202,6,17,4,9,4,6,6,6, ,2,8
 ,FF,44568,2823,6447,2372,1634,2321,2823,2887,2877, ,410,3084
 ,LUT,58402,5237,12457,4550,2771,4548,5237,5285,5287, ,549,4877
